No,Employee ID,PunchDatetime,Device No,Status
1,13000075,2023-10-18T12:16:07.173,26,01
2,13000031,2023-10-18T12:37:27.627,26,01
3,13000722,2023-10-18T13:02:03,26,01
4,13000019,2023-10-18T13:06:00,26,01
5,00000002,2023-10-18T09:20:32,1,01
6,00000002,2023-10-18T09:20:34,1,01
7,00000001,2023-10-18T12:57:48,1,01
8,00000001,2023-10-18T12:58:14,1,01
9,00000001,2023-10-18T12:58:16,1,01
10,00000001,2023-10-18T12:58:21,1,01
11,00000031,2023-10-18T13:01:36,1,01
12,00000031,2023-10-18T13:01:38,1,01
13,00000001,2023-10-18T13:18:25,1,01
14,00000001,2023-10-18T13:18:27,1,01
15,00000001,2023-10-18T13:18:29,1,01
16,13000751,2023-10-18T13:22:37.637,26,01
17,13000563,2023-10-18T13:23:55.28,26,01
18,13000679,2023-10-18T13:23:55.28,26,01
19,13000031,2023-10-18T13:27:26.25,26,01
20,13000563,2023-10-18T13:29:03.887,26,01
21,13991415,2023-10-18T15:07:18.153,26,01
22,13000735,2023-10-18T19:04:44.207,26,01
23,13000751,2023-10-18T19:07:23.04,26,01
24,13000563,2023-10-18T07:30:44,26,01
25,13000085,2023-10-18T07:56:16,26,01
26,13991415,2023-10-18T08:00:03,26,01
27,13000583,2023-10-18T08:02:03,26,01
28,13000679,2023-10-18T12:05:26,26,01
29,13991375,2023-10-18T12:05:31,26,01
30,13000722,2023-10-18T12:13:29,26,01
31,13000019,2023-10-18T12:21:38,26,01
32,13000075,2023-10-18T12:26:14,26,01
33,13000031,2023-10-18T12:27:45,26,01
34,13000085,2023-10-18T23:58:29,26,01
35,13000751,2023-10-18T23:58:33,26,01
36,13000023,2023-10-19T10:04:25.89,26,01
37,13991375,2023-10-19T10:15:06.613,26,01
38,13991415,2023-10-19T10:16:59.33,26,01
39,13000393,2023-10-19T10:39:01.007,26,01
40,13000679,2023-10-19T12:50:11.29,26,01
41,13000031,2023-10-19T13:06:21.463,26,01
42,13991423,2023-10-19T13:06:29.293,26,01
43,00000014,2023-10-19T14:57:37,27,01
44,00000014,2023-10-19T15:03:36,27,01
45,13000393,2023-10-19T15:14:49,26,01
46,00000014,2023-10-19T15:21:08,27,01
47,00000014,2023-10-19T15:30:57,27,01
51,13000085,2023-10-19T19:58:59,26,01
55,13000321,2023-10-19T22:18:53,26,01
56,13000031,2023-10-19T22:18:58,26,01
57,13000393,2023-10-19T22:19:49,26,01
58,13991423,2023-10-19T22:21:07,26,01
48,00000014,2023-10-19T16:23:07,27,01
52,13991375,2023-10-19T20:04:42,26,01
53,13991415,2023-10-19T20:04:53,26,01
54,13000679,2023-10-19T22:03:43,26,01
49,13000751,2023-10-19T19:12:03,26,01
50,13000023,2023-10-19T19:22:51,26,01
80,13000735,2023-10-20T20:02:30,26,01
81,13991415,2023-10-20T20:03:09,26,01
82,13991375,2023-10-20T20:04:18,26,01
83,13000583,2023-10-20T20:08:44,26,01
84,13000023,2023-10-20T20:12:27,26,01
165,00001981,2023-10-20T15:52:13,27,01
166,00000014,2023-10-20T15:55:22,27,01
68,13000075,2023-10-20T10:15:05,26,01
69,13991375,2023-10-20T10:17:45,26,01
70,13991415,2023-10-20T10:21:24,26,01
79,13000751,2023-10-20T19:46:17,26,01
93,13000393,2023-10-20T22:12:43,26,01
