transaction_id,employee_id,punch_datetime,device_no,status,mandt,P_Day,ISManual,data_flag,record_datetime
9991890,13000731,2023-12-01T22:13:09,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9991808,13000676,2023-12-01T00:10:22,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9991809,13991307,2023-12-01T00:10:59,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9991810,13000014,2023-12-01T00:11:11,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9991811,13000186,2023-12-01T00:11:35,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9991812,13000760,2023-12-01T10:07:00,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991813,13991462,2023-12-01T10:07:27,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991814,13991460,2023-12-01T10:07:36,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991815,13000023,2023-12-01T10:20:18,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991816,13000085,2023-12-01T10:20:41,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991817,13991415,2023-12-01T10:20:54,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991818,13000031,2023-12-01T10:21:07,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991819,13000583,2023-12-01T10:21:14,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991820,13000585,2023-12-01T10:21:15,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991821,13000757,2023-12-01T10:21:16,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991822,13991463,2023-12-01T10:22:14,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991823,13991375,2023-12-01T10:23:29,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991824,13000763,2023-12-01T10:27:25,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991825,13000321,2023-12-01T10:43:55,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991826,13000751,2023-12-01T10:50:05,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991827,13000075,2023-12-01T10:50:55,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991829,13000427,2023-12-01T11:04:06,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9991830,13991387,2023-12-01T11:04:47,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9991831,13991430,2023-12-01T11:14:57,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9991832,13000672,2023-12-01T11:15:07,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9991833,13991446,2023-12-01T11:15:16,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9991835,13000758,2023-12-01T12:12:53,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991836,13000679,2023-12-01T12:42:20,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991837,13991461,2023-12-01T13:03:46,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991838,13000393,2023-12-01T13:07:08,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991839,13000722,2023-12-01T13:08:52,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991840,13000759,2023-12-01T13:09:21,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9991841,13991423,2023-12-01T13:14:00,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9991842,13000756,2023-12-01T13:14:14,43,01,300,N,N,API,2023-12-15 11:36:57.819639
